NO_ASET,SUB_ASET,NO_ITEM,NJOP,NO_PBB,TGL_PBB,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,PERIODE,TAHUN,KETERANGAN_PBB
120505002740,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:03:29 GMT+0700 (Western Indonesia Time),6,2023,
120505002719,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:04:10 GMT+0700 (Western Indonesia Time),6,2023,
120505002742,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:04:50 GMT+0700 (Western Indonesia Time),6,2023,
120505002739,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:08:07 GMT+0700 (Western Indonesia Time),6,2023,
120504001127,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,167,Tue Dec 12 2023 16:27:36 GMT+0700 (Western Indonesia Time),6,2023,
120505002718,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:08:49 GMT+0700 (Western Indonesia Time),6,2023,
120502002551,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,356,Tue Dec 12 2023 16:11:03 GMT+0700 (Western Indonesia Time),6,2023,
120505002741,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:09:32 GMT+0700 (Western Indonesia Time),6,2023,
120505002752,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:10:52 GMT+0700 (Western Indonesia Time),6,2023,
120505002715,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:12:58 GMT+0700 (Western Indonesia Time),6,2023,
120504001240,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,252,Tue Dec 12 2023 16:13:49 GMT+0700 (Western Indonesia Time),6,2023,
120505002717,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:13:50 GMT+0700 (Western Indonesia Time),6,2023,
120505002723,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:14:32 GMT+0700 (Western Indonesia Time),6,2023,
120505002743,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:15:16 GMT+0700 (Western Indonesia Time),6,2023,
120506004187,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:17:10 GMT+0700 (Western Indonesia Time),6,2023,
120506004174,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:17:56 GMT+0700 (Western Indonesia Time),6,2023,
120506004253,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:19:58 GMT+0700 (Western Indonesia Time),6,2023,
120505002240,0,1,17725811334,127511000401200050,Wed Mar 15 2023 00:00:00 GMT+0700 (Western Indonesia Time),,,228,Tue Dec 12 2023 16:21:02 GMT+0700 (Western Indonesia Time),6,2023,-
120506004251,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:20:46 GMT+0700 (Western Indonesia Time),6,2023,
120506003300,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,155,Tue Dec 12 2023 16:20:49 GMT+0700 (Western Indonesia Time),6,2023,
120506004248,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:21:30 GMT+0700 (Western Indonesia Time),6,2023,
120506004252,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:22:43 GMT+0700 (Western Indonesia Time),6,2023,
120506003301,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,155,Tue Dec 12 2023 16:23:02 GMT+0700 (Western Indonesia Time),6,2023,
120506004257,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Wed Dec 13 2023 18:29:13 GMT+0700 (Western Indonesia Time),6,2023,
120506004240,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Wed Dec 13 2023 18:44:33 GMT+0700 (Western Indonesia Time),6,2023,
120506004199,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Wed Dec 13 2023 18:48:44 GMT+0700 (Western Indonesia Time),6,2023,
120506003557,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,155,Tue Dec 12 2023 16:25:24 GMT+0700 (Western Indonesia Time),6,2023,
120509000521,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,135,Tue Dec 12 2023 16:25:24 GMT+0700 (Western Indonesia Time),6,2023,
120506004214,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:25:22 GMT+0700 (Western Indonesia Time),6,2023,
120502003188,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,155,Tue Dec 12 2023 16:26:23 GMT+0700 (Western Indonesia Time),6,2023,
120506004236,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:26:33 GMT+0700 (Western Indonesia Time),6,2023,
