NO_ASET,SUB_ASET,NILAI_SUSUT,AKUMULASI_PENYUSUTAN,NILAI_PEROLEHAN,NILAI_BUKU,NILAI_RESIDU,PERIODE,TAHUN,CREATED_BY,CREATED_ON,PENURUNAN_AKUMULASI_NILAI,PEMULIHAN_AKUMULASI_NILAI,AKUMULASI_PENYUSUTAN_NEW,PENYUSUTAN_SD_BLN_BERJALAN
120502000036,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000037,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000038,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000039,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000040,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000041,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000042,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000043,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000044,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000045,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000046,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000047,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000048,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000049,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000050,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000051,0,0,588,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000052,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
