SUB_ASET,PATH_SURAT,FLAG,CREATED_ON,JENIS_FOTO,NO_ITEM,NO_ASET
0,storage/upload/120504001484/0/3/111420231016406552e69863f74.pdf,Y,Tue Nov 14 2023 10:17:54 GMT+0700 (Western Indonesia Time),3,1,120504001484
0,storage/upload/120604000320/0/2/111420231018136552e6f5e8498.jpg,Y,Tue Nov 14 2023 10:18:13 GMT+0700 (Western Indonesia Time),2,1,120604000320
0,storage/upload/120504002272/0/2/111420231018236552e6ff311c9.jpg,Y,Tue Nov 14 2023 10:18:23 GMT+0700 (Western Indonesia Time),2,1,120504002272
0,storage/upload/120506003569/0/3/111420231018426552e712b2a90.pdf,Y,Tue Nov 14 2023 10:18:44 GMT+0700 (Western Indonesia Time),3,1,120506003569
0,storage/upload/120509000422/0/3/111420231018236552e6ff502b8.pdf,Y,Tue Nov 14 2023 10:18:51 GMT+0700 (Western Indonesia Time),3,1,120509000422
0,storage/upload/120504002273/0/1/111420231019116552e72f4cb80.jpg,Y,Tue Nov 14 2023 10:19:11 GMT+0700 (Western Indonesia Time),1,1,120504002273
0,storage/upload/120604000322/0/1/111420231019256552e73d0ed72.jpg,Y,Tue Nov 14 2023 10:19:25 GMT+0700 (Western Indonesia Time),1,1,120604000322
0,storage/upload/120504002275/0/2/111420231019456552e751412b2.jpg,Y,Tue Nov 14 2023 10:19:45 GMT+0700 (Western Indonesia Time),2,1,120504002275
0,storage/upload/120507000768/0/2/111420231019456552e75176185.jpg,Y,Tue Nov 14 2023 10:19:45 GMT+0700 (Western Indonesia Time),2,1,120507000768
0,storage/upload/120502004223/0/1/111420231019456552e751830a5.jpg,Y,Tue Nov 14 2023 10:19:45 GMT+0700 (Western Indonesia Time),1,1,120502004223
0,storage/upload/120502004100/0/2/111420231020006552e760d559f.jpg,Y,Tue Nov 14 2023 10:20:00 GMT+0700 (Western Indonesia Time),2,1,120502004100
0,storage/upload/120504002899/0/2/111420231020016552e76160bbb.jpg,Y,Tue Nov 14 2023 10:20:01 GMT+0700 (Western Indonesia Time),2,1,120504002899
0,storage/upload/120604000326/0/2/111420231020306552e77ea3b51.jpg,Y,Tue Nov 14 2023 10:20:30 GMT+0700 (Western Indonesia Time),2,1,120604000326
0,storage/upload/120504002276/0/2/111420231020466552e78e66909.jpg,Y,Tue Nov 14 2023 10:20:46 GMT+0700 (Western Indonesia Time),2,1,120504002276
0,storage/upload/120604000327/0/2/111420231020576552e7991e8d4.jpg,Y,Tue Nov 14 2023 10:20:57 GMT+0700 (Western Indonesia Time),2,1,120604000327
0,storage/upload/120504002277/0/2/111420231021286552e7b81a498.jpg,Y,Tue Nov 14 2023 10:21:28 GMT+0700 (Western Indonesia Time),2,1,120504002277
0,storage/upload/120506003575/0/3/111420231021336552e7bdd86f9.pdf,Y,Tue Nov 14 2023 10:21:36 GMT+0700 (Western Indonesia Time),3,1,120506003575
