NAMA_CABANG,CRAETED_DATE,UPDATE_DATE,KODE_REGIONAL,KODE_TERMINAL,KODE_SAP,PROFIT_CENTER,FLAG_APPROVE,ID_CABANG
LEGI Tanjung Perak,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,2,5702,57339,2,5702
LEGI TPS,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,3,5703,57336,2,5703
LEGI Tanjung Emas,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,4,5704,57311,2,5704
LEGI TPKS,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,5,5705,57313,2,5705
LEGI Banjarmasin,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,6,5706,57326,2,5706
LEGI Belawan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,7,5707,57102,2,5707
LEGI Terminal Teluk Lamong,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,8,5708,57305,2,5708
LEGI Kupang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,9,5709,57321,2,5709
LEGI Benoa,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,10,5710,57315,2,5710
LEGI Cilacap,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,11,5711,57314,2,5711
LEGI Gresik,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,12,5712,57307,2,5712
LEGI Banyuwangi,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,13,5713,57310,2,5713
LEGI Bagendang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,14,5714,57333,2,5714
LEGI Sampit,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,15,5715,57332,2,5715
LEGI Tanjung Priok,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,22,5722,57202,2,5722
LEGI Banten,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,29,5729,57209,2,5729
LEGI Kendari,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,41,5741,57411,2,5741
LEGI Makassar,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,42,5742,57402,2,5742
LEGI Pantoloan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,43,5743,57417,2,5743
LEGI Manokwari,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,44,5744,57416,2,5744
LEGI Bitung,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,45,5745,57405,2,5745
LEGI Ambon,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,46,5746,57406,2,5746
LEGI Sorong,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,47,5747,57407,2,5747
LEGI Jayapura,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,48,5748,57408,2,5748
LEGI Merauke,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,49,5749,57415,2,5749
KANTOR PUSAT PT PDS,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,073,0,7211,72101,2,7211
PDS Regional Jawa,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,073,2,7212,72102,2,7212
PDS Regional Jakarta,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,073,3,7213,72103,2,7213
PDS Regional Sumatra,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,073,4,7214,72104,2,7214
PDS Regional Kalimantan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,073,5,7215,72105,2,7215
PDS Regional Bali Nusra,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,073,6,7216,72106,2,7216
PDS Regional Sulawesi,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,073,7,7217,72107,2,7217
PT IPC TPK HEAD OFFICE,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,0,3101,31001,2,3101
IPC TPK Cab Tanjung Priok I,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,2,3102,31002,2,3102
IPC TPK Cabang Tj Priok II,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,3,3103,31003,2,3103
IPC TPK Terminal Support,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,4,3104,31004,2,3104
IPC TPK Cabang Pontianak,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,5,3105,31005,2,3105
IPC TPK Cabang Palembang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,6,3106,31006,2,3106
IPC TPK Cabang Panjang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,7,3107,31007,2,3107
IPC TPK Cabang Teluk Bayur,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,8,3108,31008,2,3108
IPC TPK Cabang Jambi,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,9,3109,31009,2,3109
IPC TPK Cabang Pangkal Balam,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,031,10,3110,31010,2,3110
PT EPI HEAD OFFICE,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,0,5501,55001,2,5501
EPI Tanjung Priok,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,2,55010,55002,2,5502
EPI Panjang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,3,55010,55003,2,5503
EPI Palembang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,5,55010,55005,2,5505
EPI Pontianak,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,6,55010,55006,2,5506
EPI Sunda Kelapa,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,8,55010,55008,2,5508
EPI Cirebon,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,9,55010,55009,2,5509
EPI Makassar,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,055,10,55010,55010,2,5510
JPPI HEAD OFFICE,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,0,5601,56001,2,5601
JPPI Site Area Jakarta 1,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,2,5602,56002,2,5602
JPPI Site Area Jakarta 2,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,3,5603,56003,2,5603
JPPI Site Area Jakarta 3,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,4,5604,56004,2,5604
JPPI Site Area Jakarta 5,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,5,5605,56005,2,5605
JPPI Site Banten,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,6,5606,56006,2,5606
JPPI Site Cirebon,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,7,5607,56007,2,5607
JPPI Site Lampung,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,8,5608,56008,2,5608
JPPI Site Palembang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,9,5609,56009,2,5609
JPPI Site Bengkulu,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,10,5610,56010,2,5610
JPPI Site Jambi,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,11,5611,56011,2,5611
JPPI Site Padang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,12,5612,56012,2,5612
JPPI Site TjPandan&PBalam,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,13,5613,56013,2,5613
JPPI Site Pontianak,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,14,5614,56014,2,5614
JPPI Site Galangan Jkt,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,15,5615,56015,2,5615
PT MTI HEAD OFFICE,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,0,6201,62001,2,6201
MTI Logistik Regional 1,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,20,6202,62020,2,6220
MTI Area Freight Frwardg,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,21,62020,62021,2,6221
MTI Area Alat B/M,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,22,62020,62022,2,6222
MTI Area BO,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,23,62020,62023,2,6223
MTI Area CDC Banda,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,24,62020,62024,2,6224
MTI Area 215X,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,25,62020,62025,2,6225
MTI Area Utep Pasoso,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,26,62020,62026,2,6226
MTI Area HLC,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,27,62020,62027,2,6227
MTI Area Common,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,28,62020,62028,2,6228
MTI Area 221X,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,29,62020,62029,2,6229
MTI Area 225X,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,30,62020,62030,2,6230
MTI Area EKS.TJETOT,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,31,62020,62031,2,6231
MTI Area Lap Ex Trisari,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,32,62020,62032,2,6232
MTI Area Lap Ex Glorius,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,33,62020,62033,2,6233
MTI Area Gudang Ex Arsa,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,34,62020,62034,2,6234
MTI Area Lap Ex Arsa,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,35,62020,62035,2,6235
MTI Area Lap 005S,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,36,62020,62036,2,6236
MTI Logistik Regional 2,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,50,6203,62050,2,6250
MTI Area BO,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,51,62030,62051,2,6251
MTI Area Surabaya,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,52,62030,62052,2,6252
MTI Area Semarang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,53,62030,62053,2,6253
MTI Area LapCY Tg.Emas,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,54,62030,62054,2,6254
MTI Area Lap FumgasiTMas,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,55,62030,62055,2,6255
MTI Area Bali,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,56,62030,62056,2,6256
MTI Area Pontianak,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,57,62030,62057,2,6257
MTI Area Makassar,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,58,62030,62058,2,6258
MTI Area Depo Unggul Sby,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,59,62030,62059,2,6259
MTI Area Gudang CFS Sby,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,60,62030,62060,2,6260
MTI Area Eks Plb Tj Mas,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,61,62030,62061,2,6261
MTI Area Konsolidasi Sby,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,62,62030,62062,2,6262
Area Lap CCDC Ambon,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,63,62030,62063,2,6263
MTI Area Lapangan CCDC 2,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,64,62030,62064,2,6264
MTI Area Lapangan CCDC 4,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,65,62030,62065,2,6265
MTI Area Lap Banjarmasin,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,66,62030,62066,2,6266
MTI Logistik Regional 3,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,80,6204,62080,2,6280
MTI Area BO,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,81,62040,62081,2,6281
MTI Area Jambi,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,82,62040,62082,2,6282
