0,1,2,3,4,5,6,7,8,9,10,11,12
17,0701.23.011.4.00001-3/00,Contractors Plant Machinery (CPM),Thu Feb 09 2023 00:00:00 GMT+0700 (Western Indonesia Time),4034008805,31 Desember 2022 - 31 Desember 2023,65,storage/dokumen_polis/CPM_ORIGINAL_compressed20231127102155.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:21:55 GMT+0700 (Western Indonesia Time),,
15,0103.23.011.4.00001-3/00,Property All Risks (PAR),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),549403299,31 Desember 2022 - 31 Desember 2023,65,storage/dokumen_polis/PAR_ORIGINAL_compressed20231127102015.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:20:15 GMT+0700 (Western Indonesia Time),,
16,0906.23.011.4.00001-3/00,Civil Engineering Complleted Risks (CECR),Tue Feb 14 2023 00:00:00 GMT+0700 (Western Indonesia Time),14281120647,31 Desember 2022 - 31 Desember 2023,65,storage/dokumen_polis/CECR_ORIGINAL_compressed20231127102105.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:21:05 GMT+0700 (Western Indonesia Time),,
25,0103.23.003.4.00001-7/00,Property All Risks (PAR),Thu Feb 02 2023 00:00:00 GMT+0700 (Western Indonesia Time),2310273233,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - PAR20230209_compressed20231127105016.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:50:16 GMT+0700 (Western Indonesia Time),,
26,1002.23.003.4.00001-7/00,Comprehensive General Liability (CGL),Thu Jan 26 2023 00:00:00 GMT+0700 (Western Indonesia Time),20000000,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CGL2023020920231127105129.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:51:28 GMT+0700 (Western Indonesia Time),,
27,0701.23.003.4.00001-7/00,Contractors Plant Machinery (CPM),Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:52:06 GMT+0700 (Western Indonesia Time),,
28,0904.23.003.4.00001-7/00,Electronic Equipment Insurance (EEI),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),70000000,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - EEI20230209_compressed20231127105246.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:52:46 GMT+0700 (Western Indonesia Time),,
29,0102.23.003.4.00001-7/00,Eartquake (EQ),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),2887841541,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - EQ20230209_compressed20231127105329.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:53:29 GMT+0700 (Western Indonesia Time),,
30,0903.23.003.4.00001-7/00,Machinery Breakdown (MB),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),198787620,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - MB20230209_compressed20231127105410.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:54:10 GMT+0700 (Western Indonesia Time),,
31,0401.23.003.4.00001-7/00,Marine Hull (MH),Thu Jan 26 2023 00:00:00 GMT+0700 (Western Indonesia Time),8032360573,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - MH20230209_compressed20231127105550.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:55:49 GMT+0700 (Western Indonesia Time),,
32,1006.23.003.4.00001-7/00,Port and Terminnal Operator Liability (PTOL),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),614200000,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - PTOL20230209_compressed20231127105702.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:57:02 GMT+0700 (Western Indonesia Time),,
33,0202.23.003.4.00001-7/00,Motor Vehicle (MV),Fri Feb 17 2023 00:00:00 GMT+0700 (Western Indonesia Time),920264591,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS PELINDO III - MV20230220_compressed20231127105801.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:58:01 GMT+0700 (Western Indonesia Time),,
34,0906.23.003.4.00001-7/00,Civil Engineering Complleted Risks (CECR),Thu Jan 26 2023 00:00:00 GMT+0700 (Western Indonesia Time),4683406068,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CECR2023020920231127105857.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 10:58:57 GMT+0700 (Western Indonesia Time),,
35,0404.22.011.4.00001-1/00,Pretection & Indemnity (P&I),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),293300,31 Desember 2022 - 31 Desember 2023,66,storage/dokumen_polis/PS P_I dan Lampiran20231127110020.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:00:20 GMT+0700 (Western Indonesia Time),,
43,1006.22.002.4.00001-2/00,Port and Terminnal Operator Liability (PTOL),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),61420000,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/POLIS PTOL PT PELINDO REGIONAL 420231127112836.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:28:36 GMT+0700 (Western Indonesia Time),,
44,0903.22.002.4.00001-2/00,Machinery Breakdown (MB),Thu Feb 09 2023 00:00:00 GMT+0700 (Western Indonesia Time),83430465,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/POLIS MB PT PELINDO REGIONAL 420231127112934.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:29:34 GMT+0700 (Western Indonesia Time),,
45,0103.22.002.4.00001-1/00,Property All Risks (PAR),Thu Feb 02 2023 00:00:00 GMT+0700 (Western Indonesia Time),199838111,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/POLIS PAR PT PELINDO REGIONAL 4_compressed20231127113020.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:30:20 GMT+0700 (Western Indonesia Time),,
