KODE_PUSAT_BIAYA,NAMA_PUSAT_BIAYA,FLAG,CRAETED_DATE,UPDATE_DATE
"2010105341","Department Pengembangan Bisnis Non Petikemas dan Jasa Maritim","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102500","Group Teknologi Informasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102511","Group Teknologi Informasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102521","Department Strategi dan Tata Kelola Teknologi Informasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102531","Department Pengoperasian dan Pengendalian Sistem Informasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102541","Departement Manajemen Data","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102542","Unit Pendukung Perencanaan dan Kebijakan Data","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102543","Unit Pendukung Pengolahan dan Pelaporan Data","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102561","Department Perencanaan Enterprise","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102551","Satuan Kerja Implementasi Single ERP","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102552","Unit Pendukung Proses Bisnis","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010102553","Unit Pendukung Integrasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105611","Group Manajemen Investasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105621","Department Perencanaan Investasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105631","Department Monitoring dan Evaluasi Investasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106000","Direktorat Pengelola","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106100","Direktur Pengelola","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106111","Direktur Pengelola","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106200","Group Head Pelayanan Terminal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106211","Group Head Pelayanan Terminal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106221","Departement Terminal Petikemas","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106231","Departement Terminal Multi Purpose","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106241","Departement Terminal Curah","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106300","Group Head Pelayanan Kapal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106311","Group Head Pelayanan Kapal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106321","Departement Pemanduan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106331","Departement Kesiapan Fasilitas dan Sarana Pemanduan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106332","Unit Pendukung Digitalisasi Transformasi Pelayanan Kapal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106341","Departement Pelayanan Kapal Penumpang dan Ro-Ro","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106400","Group Manajemen Pelanggan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106411","Group Manajemen Pelanggan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106421","Department Komersial & Bisnis","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106422","Unit Pendukung Pengusahaan Properti","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106431","Department Tarif Management","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106441","Department Hubungan Pelanggan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106500","Group K3 dan Sistem Manajemen","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106511","Group K3 dan Sistem Manajemen","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106521","Department Sistem Manajemen","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106531","Department Kesehatan dan Keselamatan Kerja (K3)","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106541","Departement Sistem Pelaporan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010106551","Department Corporate Sustainability","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020100000","REGIONAL 1","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020101100","CEO Reg 1","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020101111","CEO Reg 1","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020102100","Div Operasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020102111","DivHead Operasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020102211","Dep Plyn Kapal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020102311","Dep Plyn Ptkms Brg","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020102411","Dep Plyn RoRo Pnmpng","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020102511","Dep HSSE","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020102611","Dep Pelaporan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020103100","Div Komersial","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020103111","DivHead Komersial","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020103211","Dep Pgshn Properti","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020103311","Dep Pemasaran","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020104100","Div Teknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2020104111","DivHead Teknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022006111","Manager Umum&Keu","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022101111","Mgr Kawasan K.Langsa","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022201100","GM Tg. Balai Asahan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022201111","GM Tg. Balai Asahan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022202111","Manager BisnisTeknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022206111","Manager Umum&Keu","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022301100","GM Cabang Tembilahan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022301111","GM Cabang Tembilahan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022302111","Manager BisnisTeknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022306111","Manager Umum&Keu","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022401111","GM Kwsn Kuala Enok","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022501111","GM Kawasan Rengat","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022601100","GM Gunung Sitoli","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022601111","GM Gunung Sitoli","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022602111","Manager BisnisTeknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022606111","Manager Umum&Keu","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022701100","Mgr Galangan Kapal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022701111","Mgr Galangan Kapal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022702111","Manager Pmlihrn Kpl","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022704111","Manager Tknk&Logstk","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2022706111","Manager Keuangan dan Umum","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030100000","REGIONAL 2","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030101100","CEO Reg 2","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030101111","CEO Reg 2","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030102100","Div Operasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030102111","Div Head Operasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030102211","Dep Plyn Kapal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030102311","Dep Plyn Ptkms Brg","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030102411","Dep Plyn RoRo Pnmpng","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030102511","Dep HSSE","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030102611","Dep Pelaporan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030103100","Div Komersial","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030103111","Div Head Komersial","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030103211","Dep Pgshn Properti","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030103311","Dep Pemasaran","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030104100","Div Teknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030104111","Div Head Teknik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030104211","Dep Pmlh Prltn Plbhn","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030104311","Dep Pmlh Fas Plbhn","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030104411","Dep Sist Manaj","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030104511","Dep Teknologi Info","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030104611","PMO","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030105100","Div SDM Umum","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030105111","Div Head SDM Umum","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030105211","Dep Plyn SDM","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030105311","Dep Umum","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030105411","Dep Hukum dan Humas","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030105511","Dep Pengadaan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030106100","Div Akt Anggrn","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030106111","Div Head Akt Anggrn","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030106211","Dep Anggaran","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030106311","Dep Akuntansi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030106321","Mgr Akuntansi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030106331","Mgr Transksi Data","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030106411","Dep Pelaporan Keu","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030106511","Dep Aset tetap","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107100","Div Keu dan Pajak","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107111","Div Head Keu & Pajak","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107211","Dep Head Pajak","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107221","Mgr Perpajakan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107411","Dep Perbendaharaan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107511","Dep Lay.Keuangan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107521","Mgr Hutang & Aset","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107531","Mgr Piutang","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030107541","Mgr Migrasi&Pgmbgan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030201100","Kacab Tanjung Priok","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030201111","GM Cabang Priok","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208100","Bag Kepatuhan Bisnis","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208111","DGM Kepatuhan Bisnis","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208211","Mnajer Hkum & Asrnsi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208221","Sprvsor Hkm & Asrnsi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208311","Mnajer MR & Png Mutu","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208321","Sprvsor MR & Png Mtu","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208411","Manajer HSSE","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208421","Sprvsor Lingkungan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208431","Sprvsor K3, PMK & PFSO","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208511","Mnjer Pngdan&Png Int","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208521","Sprvsor Pengadaan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030208531","Sprvsor Pengendalian Int","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030203100","Bag Komersial","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030203111","DGM Komersial","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030203211","Manajer Komersial","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030203221","Sprvsr Pmsrn &Pntrfn","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030203231","Sprvsor HUMAS & PelPlnggn","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030203311","Manajer Properti","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030203321","Sprvsor Png Tnh&Bgnn","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030203331","SprvsorAneka Usha","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202100","Bag Operasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202111","DGM Operasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202211","Mnjr Prnc Png & OpUm","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202221","Sprvsor Prnc&Peng Op","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202231","Sprvsr OpUm&Tr Pnmpg","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202311","Mnj Prnc Pmnd","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202321","Sprvr Prnc Pmnd&Pnnd","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202331","Sprvr Pnc&Op Sr Pmnd","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202411","Mnj Ad Kpnd, Kom &PP","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202421","Sprvsr Adm Pmnd","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2030202431","Sprvsr Adm Kom & PP","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
